# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
1.000000e+01	4.777563e-29
1.002305e+01	4.803484e-29
1.004616e+01	4.842512e-29
1.006932e+01	4.868631e-29
1.009253e+01	4.894832e-29
1.011579e+01	4.934282e-29
1.013911e+01	4.960684e-29
1.016249e+01	4.987167e-29
1.018591e+01	5.027044e-29
1.020939e+01	5.053731e-29
1.023293e+01	5.080500e-29
1.025652e+01	5.120810e-29
1.028016e+01	5.147786e-29
1.030386e+01	5.174846e-29
1.032761e+01	5.215591e-29
1.035142e+01	5.242861e-29
1.037528e+01	5.283922e-29
1.039920e+01	5.311401e-29
1.042317e+01	5.338967e-29
1.044720e+01	5.380474e-29
1.047129e+01	5.408253e-29
1.049542e+01	5.450083e-29
1.051962e+01	5.478078e-29
1.054387e+01	5.506158e-29
1.056818e+01	5.548443e-29
1.059254e+01	5.576744e-29
1.061696e+01	5.619358e-29
1.064143e+01	5.647878e-29
1.066596e+01	5.690824e-29
1.069055e+01	5.719566e-29
1.071519e+01	5.762848e-29
1.073989e+01	5.791814e-29
1.076465e+01	5.820872e-29
1.078947e+01	5.864627e-29
1.081434e+01	5.893912e-29
1.083927e+01	5.938009e-29
1.086426e+01	5.967521e-29
1.088930e+01	6.011966e-29
1.091440e+01	6.041710e-29
1.093956e+01	6.086501e-29
1.096478e+01	6.116480e-29
1.099006e+01	6.161623e-29
1.101539e+01	6.206980e-29
1.104079e+01	6.237335e-29
1.106624e+01	6.283047e-29
1.109175e+01	6.313643e-29
1.111732e+01	6.359716e-29
1.114295e+01	6.390552e-29
1.116863e+01	6.436988e-29
1.119438e+01	6.468067e-29
1.122018e+01	6.514871e-29
1.124605e+01	6.561895e-29
1.127197e+01	6.593369e-29
1.129796e+01	6.640765e-29
1.132400e+01	6.672487e-29
1.135011e+01	6.720260e-29
1.137627e+01	6.768258e-29
1.140250e+01	6.800382e-29
1.142878e+01	6.848763e-29
1.145513e+01	6.897372e-29
1.148154e+01	6.929905e-29
1.150800e+01	6.978902e-29
1.153453e+01	7.011694e-29
1.156112e+01	7.061081e-29
1.158777e+01	7.110701e-29
1.161449e+01	7.143912e-29
1.164126e+01	7.193929e-29
1.166810e+01	7.244183e-29
1.169499e+01	7.277818e-29
1.172195e+01	7.328474e-29
1.174898e+01	7.379371e-29
1.177606e+01	7.430511e-29
1.180321e+01	7.464742e-29
1.183042e+01	7.516290e-29
1.185769e+01	7.568085e-29
1.188502e+01	7.620130e-29
1.191242e+01	7.654964e-29
1.193988e+01	7.707423e-29
1.196741e+01	7.760136e-29
1.199499e+01	7.795416e-29
1.202264e+01	7.848938e-29
